iteration,log_likelihood,beta,rho_pre_projection,rho_post_projection,projection_applied,projection_scale,elapsed_seconds,mu_min,mu_max,alpha_sum
1,-63560.11689854267,0.2,0.9943915819866582,0.9799999999999993,True,0.985527248774667,2.5797059535980225,0.003926698906470767,0.09313136952792417,28.837373230807774
2,84081.78012050607,0.2,0.9940805239796238,0.9800000000000004,True,0.9858356303740315,2.5690839290618896,0.003604075899084279,0.09413037723854016,28.897392926050227
3,85206.66559445683,0.2,0.9937383636417417,0.9799999999999994,True,0.9861750696718652,2.5097756385803223,0.003301044666177618,0.09428391575652519,28.9577463211142
4,86274.92335662013,0.2,0.9933691844888635,0.9799999999999993,True,0.9865415751790785,2.5030105113983154,0.00301742690357849,0.09368614867016484,29.017685991806946
5,87285.68399026239,0.2,0.9929766444329119,0.9799999999999993,True,0.9869315713459476,2.5038044452667236,0.002752862835741368,0.09244226849077504,29.076498509621235
6,88237.07759702479,0.2,0.9925640415740253,0.9799999999999995,True,0.9873418328210832,2.5736701488494873,0.0025068444320975377,0.09066035775985799,29.133589020213112
7,89127.01163718739,0.2,0.9921343265977902,0.98,True,0.9877694720639281,2.4898345470428467,0.0022787455788297007,0.08844519719830725,29.188551067416082
8,89954.07320876027,0.2,0.9916900837433104,0.9800000000000011,True,0.9882119586199913,2.6455705165863037,0.0020678489963291994,0.08589400117114733,29.241201607161017
9,90718.19064564191,0.2,0.9912335127290738,0.9799999999999975,True,0.9886671378794029,2.6898488998413086,0.0018733699257005504,0.08309385011932373,29.291573922654027
10,91420.86358307087,0.2,0.990766434816639,0.9800000000000005,True,0.9891332261183924,2.5910279750823975,0.0016944767665352893,0.08012048999616965,29.33987636713576
11,92064.9987729975,0.2,0.9902903286723121,0.9800000000000004,True,0.9896087759575433,2.57228684425354,0.001530308909636564,0.07703814870313308,29.38643334344416
12,92654.51961989398,0.2,0.989806388067673,0.9799999999999999,True,0.990092619944778,2.6130309104919434,0.0013799920021641647,0.0743615281779684,29.43162465011867
13,93193.92177416454,0.2,0.9893155883409893,0.9800000000000002,True,0.9905838051570471,2.6075806617736816,0.0012426508545274036,0.07331404141284992,29.475834004225703
14,93687.88453725862,0.2,0.9888187500327925,0.9799999999999964,True,0.9910815303284853,2.5424797534942627,0.001117420178114985,0.07210413841887237,29.519411592217125
15,94140.98129950179,0.2,0.9883165924219722,0.9800000000000014,True,0.9915850927873309,2.5319149494171143,0.0010034533381358575,0.07145846159667345,29.562651176219553
16,94557.48977920413,0.2,0.9878097740359268,0.980000000000001,True,0.992093848186966,2.519181489944458,0.0008999293109172657,0.0749012924987137,29.605779896258476
17,94941.28468478637,0.2,0.9872989203668933,0.9799999999999989,True,0.9926071828740773,2.6607718467712402,0.0008060580416715253,0.07816720677213909,29.648957918577306
18,95295.79202156645,0.2,0.986784640822539,0.98,True,0.9931244969349303,2.744953155517578,0.0007210844012467515,0.0812241434284629,29.692284889251603
19,95623.98693993504,0.2,0.9862675376489847,0.9799999999999995,True,0.9936451952338157,2.6877381801605225,0.0006442909364808118,0.08404353028241639,29.73581037113282
20,95928.42085091857,0.2,0.9857482095549616,0.9800000000000021,True,0.9941686837477932,2.644925355911255,0.0005749995987874659,0.08660113204910784,29.779545873637467
