iteration,log_likelihood,beta,rho_pre_projection,rho_post_projection,projection_applied,projection_scale,elapsed_seconds,mu_min,mu_max,alpha_sum
1,-63560.11689854267,0.2,0.9943915819866582,0.8499999999999988,True,0.8547940423045581,3.119248628616333,0.003926698906470767,0.09313136952792417,25.012007394067968
2,81807.0815240641,0.2,0.9928352931896512,0.8499999999999995,True,0.8561339487330585,3.1492080688476562,0.004153147672590908,0.10827840582738289,25.064018448624537
3,82983.76892024398,0.2,0.9909846861692226,0.8500000000000005,True,0.8577327297415493,3.0816385746002197,0.004377529764860145,0.12447209180451382,25.117355579474125
4,84110.32612337774,0.2,0.9888012960792576,0.849999999999999,True,0.8596267049511108,3.104684829711914,0.00459734739964132,0.14157988353607454,25.172139014913967
5,85185.93789758431,0.2,0.986249122283243,0.85,True,0.8618512106070971,3.0498881340026855,0.004809667928339333,0.1594420985106538,25.228640324065587
6,86208.62596022576,0.2,0.9832982347700787,0.8500000000000001,True,0.8644376344260931,3.032573938369751,0.005011124824115327,0.17787012757627724,25.287330428792032
7,87176.06274119037,0.2,0.9799290639138512,0.8499999999999999,True,0.8674097251540713,2.9689834117889404,0.005197959774866911,0.19664516511673036,25.348871383751515
8,88086.45009222292,0.2,0.9761369059048726,0.8500000000000005,True,0.870779492977018,3.1958136558532715,0.005366118864301556,0.21551865449662613,25.414040129321215
9,88939.0878985674,0.2,0.9719359428234051,0.8500000000000008,True,0.8745432312450655,2.36721134185791,0.00551141157959042,0.2342156588158808,25.483598677791818
10,89734.49028228997,0.2,0.9673619311379903,0.8500000000000012,True,0.8786783649839027,2.4002418518066406,0.005629732710927289,0.2524420786684005,25.558145178962263
11,90474.1580004374,0.2,0.9624727509569553,0.8499999999999999,True,0.8831418854766254,2.3954110145568848,0.005717334532284329,0.26989602305836613,25.63798479591165
12,91160.22386660415,0.2,0.9573462961922745,0.8500000000000001,True,0.8878709860588263,2.4491841793060303,0.005771122263145718,0.2862827657473391,25.72305002740715
13,91795.14868811684,0.2,0.9520756958346662,0.8499999999999985,True,0.8927861552592429,2.3952064514160156,0.005788933820464907,0.3013317764611394,25.81288418240223
14,92381.54388069015,0.2,0.9467624511658068,0.8500000000000014,True,0.8977964841691205,2.330911159515381,0.005769760009696466,0.32089577533939256,25.906685621909237
15,92922.10989521485,0.2,0.9415085549385663,0.8500000000000001,True,0.9028064541117873,2.369018793106079,0.005713866825629431,0.33935309063475,26.00339805994403
16,93419.63724628321,0.2,0.9364088599456408,0.8500000000000005,True,0.9077231499596694,2.740992784500122,0.005622797293955832,0.35595881022072634,26.101825515949738
17,93877.01527884175,0.2,0.931544829686324,0.85,True,0.9124627961127943,3.056401252746582,0.005499252262981347,0.37055422234280555,26.200749731206994
18,94297.21503985662,0.2,0.9269804058858999,0.8500000000000011,True,0.9169557356367948,3.1499106884002686,0.005346871324697432,0.38306940557765495,26.299031926333786
19,94683.23864564995,0.2,0.9227602220961397,0.8500000000000005,True,0.9211493729856952,3.1042802333831787,0.0051699504704985745,0.4045772531578885,26.395687630687448
20,95038.0463803228,0.2,0.9189099406844736,0.8499999999999996,True,0.9250090377375346,3.127758741378784,0.004973138747045228,0.42407570361986674,26.48993064987888
