iteration,log_likelihood,beta,spectral_radius,projected,elapsed_seconds,mu_min,mu_max,alpha_sum
1,-269911.15028110176,0.2,0.9800000000000016,True,7.161937952041626,0.004220265105178219,0.08665599460467129,29.08673180028328
2,266051.89093275263,0.2,0.9799999999999993,True,7.189146518707275,0.0038657510765317793,0.08927625874813823,29.20261855939937
3,269865.68868294114,0.2,0.9800000000000008,True,7.152570724487305,0.0035366190376742205,0.09123599151845754,29.313176274348734
4,273504.74597042263,0.2,0.98,True,7.176308631896973,0.003231674579347357,0.09256873138270756,29.418680660224897
5,276965.6070625837,0.2,0.9800000000000004,True,7.180701732635498,0.0029496914661273515,0.0933232634790637,29.51958400871871
6,280245.10829230084,0.2,0.98,True,7.106685400009155,0.0026894253255140563,0.09355801847234942,29.616461276358663
7,283340.76859461877,0.2,0.9800000000000005,True,7.209434509277344,0.0024496263880977413,0.0933361632000721,29.709950453226583
8,286251.3144821082,0.2,0.9800000000000024,True,7.271050930023193,0.0022290513042683485,0.09272163273958552,29.800696030717365
9,288977.1838877322,0.2,0.9799999999999999,True,7.1913135051727295,0.0020264739573445448,0.09177616833871595,29.88930215112623
10,291520.88166514377,0.2,0.9800000000000002,True,7.197955846786499,0.001840695137846765,0.090557297611688,29.976298797006557
11,293887.1111341424,0.2,0.9800000000000009,True,7.2197277545928955,0.0016705509375823774,0.0891171201970075,30.0621213881379
12,296082.66573203576,0.2,0.9799999999999993,True,7.197279214859009,0.0015149197547703432,0.08750173267215275,30.147102164594244
13,298116.1163870428,0.2,0.9800000000000003,True,7.304154872894287,0.0013727278575957882,0.08575112725406694,30.231470871020747
14,299997.3622718492,0.2,0.9800000000000003,True,7.228993654251099,0.0012429535181206436,0.0838994171644125,30.315362205177614
15,301737.1220366587,0.2,0.98,True,7.250089883804321,0.0011246297889886629,0.0819752678441425,30.398827828541172
16,303346.43393435713,0.2,0.9799999999999984,True,7.2198169231414795,0.0010168460437621355,0.08000244096673786,30.48185114805526
17,304836.2146336078,0.2,0.9800000000000009,True,7.419555425643921,0.0009187484343023387,0.07800038364424054,30.564363424816865
18,306216.9058090376,0.2,0.9799999999999989,True,7.222041368484497,0.0008295394351827042,0.07598481657255089,30.646260026166757
19,307498.2198178235,0.2,0.979999999999998,True,7.2054502964019775,0.0007484766478483909,0.0739682916585604,30.727415842448895
20,308688.98284957546,0.2,0.9800000000000023,True,7.287888050079346,0.0006748710293819304,0.07196070219625174,30.807699075756975
